name,k,draft_class,pick,rookie_season,debut_lag,g,mpg,y_pts,y_reb,y_ast,y_stl,y_blk,y_tov,y_fg3m,y_fgm,y_fga,y_ftm,y_fta
Tyler Bey,tyler bey,2020,36.0,2021,0,17,3.9411764705882355,1.0588235294117647,1.0588235294117647,0.11764705882352941,0.0,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.4117647058823529,1.2941176470588236,0.17647058823529413,0.29411764705882354
Miles McBride,miles mcbride,2021,36.0,2022,0,37,10.08108108108108,2.4054054054054053,1.135135135135135,1.1081081081081081,0.3783783783783784,0.02702702702702703,0.13513513513513514,0.4594594594594595,0.8648648648648649,2.918918918918919,0.21621621621621623,0.32432432432432434
Andre Jackson Jr.,andre jackson,2023,36.0,2024,0,56,10.285714285714286,2.232142857142857,2.017857142857143,0.8928571428571429,0.2857142857142857,0.10714285714285714,0.5,0.30357142857142855,0.8928571428571429,1.7857142857142858,0.14285714285714285,0.19642857142857142
Adou Thiero,adou thiero,2025,36.0,2026,0,25,6.04,1.88,1.12,0.4,0.28,0.08,0.36,0.04,0.64,1.24,0.56,0.88
Quincy Acy,quincy acy,2012,37.0,2013,0,29,11.758620689655173,4.0,2.6551724137931036,0.3793103448275862,0.4482758620689655,0.5172413793103449,0.5862068965517241,0.034482758620689655,1.4482758620689655,2.586206896551724,1.0689655172413792,1.3103448275862069
Darington Hobson,darington hobson,2010,37.0,2012,1,4,9.75,1.0,0.75,1.5,0.0,0.0,0.5,0.0,0.5,3.25,0.0,0.0
Tony Mitchell,tony mitchell,2013,37.0,2014,0,3,3.3333333333333335,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,1.6666666666666667,0.0,0.0
Richaun Holmes,richaun holmes,2015,37.0,2016,0,51,13.764705882352942,5.627450980392157,2.6470588235294117,0.6470588235294118,0.37254901960784315,0.7843137254901961,0.6274509803921569,0.1568627450980392,2.235294117647059,4.352941176470588,1.0,1.4509803921568627
Semi Ojeleye,semi ojeleye,2017,37.0,2018,0,73,15.794520547945206,2.671232876712329,2.2054794520547945,0.273972602739726,0.2876712328767123,0.0547945205479452,0.3424657534246575,0.547945205479452,0.8904109589041096,2.5753424657534247,0.3424657534246575,0.5616438356164384
Chinanu Onuaku,chinanu onuaku,2016,37.0,2017,0,5,10.0,2.8,2.0,0.6,0.6,0.2,0.8,0.0,1.0,1.4,0.8,0.8
Gary Trent Jr.,gary trent,2018,37.0,2019,0,15,7.4,2.6666666666666665,0.7333333333333333,0.3333333333333333,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.3333333333333333,1.0666666666666667,3.3333333333333335,0.2,0.4666666666666667
Hunter Tyson,hunter tyson,2023,37.0,2024,0,18,2.611111111111111,1.1111111111111112,0.5,0.1111111111111111,0.05555555555555555,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444,1.1111111111111112,0.0,0.0
Chaz Lanier,chaz lanier,2025,37.0,2026,0,33,8.0,2.4242424242424243,0.696969696969697,0.5151515151515151,0.21212121212121213,0.0,0.09090909090909091,0.5757575757575758,0.8484848484848485,2.696969696969697,0.15151515151515152,0.18181818181818182
JT Thor,jt thor,2021,37.0,2022,0,33,7.878787878787879,2.0303030303030303,1.303030303030303,0.5757575757575758,0.24242424242424243,0.3333333333333333,0.30303030303030304,0.21212121212121213,0.7272727272727273,1.6666666666666667,0.36363636363636365,0.6060606060606061
Chandler Parsons,chandler parsons,2011,38.0,2012,0,62,29.06451612903226,9.661290322580646,4.838709677419355,2.161290322580645,1.1774193548387097,0.46774193548387094,1.3064516129032258,0.967741935483871,4.0,8.85483870967742,0.6935483870967742,1.2580645161290323
Andy Rautins,andy rautins,2010,38.0,2011,0,5,4.8,1.6,0.2,0.6,0.2,0.0,1.4,0.2,0.6,1.4,0.2,0.4
Nate Wolters,nate wolters,2013,38.0,2014,0,58,22.53448275862069,7.189655172413793,2.5689655172413794,3.2241379310344827,0.603448275862069,0.25862068965517243,0.9827586206896551,0.3103448275862069,2.9310344827586206,6.706896551724138,1.0172413793103448,1.5517241379310345
Spencer Dinwiddie,spencer dinwiddie,2014,38.0,2015,0,34,13.470588235294118,4.264705882352941,1.411764705882353,3.0588235294117645,0.5588235294117647,0.17647058823529413,0.9705882352941176,0.35294117647058826,1.5,4.970588235294118,0.9117647058823529,1.0
Darrun Hilliard,darrun hilliard,2015,38.0,2016,0,37,10.405405405405405,4.108108108108108,1.2162162162162162,0.7297297297297297,0.24324324324324326,0.02702702702702703,0.5135135135135135,0.5135135135135135,1.4054054054054055,3.5405405405405403,0.7837837837837838,1.0810810810810811
Quincy Miller,quincy miller,2012,38.0,2013,0,7,3.7142857142857144,1.2857142857142858,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.0,0.5714285714285714,1.7142857142857142,0.14285714285714285,0.2857142857142857
Patrick McCaw,patrick mccaw,2016,38.0,2017,0,70,15.385714285714286,4.0285714285714285,1.4285714285714286,1.1,0.45714285714285713,0.21428571428571427,0.5142857142857142,0.5857142857142857,1.5142857142857142,3.5,0.4142857142857143,0.5285714285714286
Jordan Bell,jordan bell,2017,38.0,2018,0,56,14.482142857142858,4.678571428571429,3.6964285714285716,1.8214285714285714,0.625,1.0,0.9107142857142857,0.0,2.0714285714285716,3.3035714285714284,0.5357142857142857,0.7857142857142857
Khyri Thomas,khyri thomas,2018,38.0,2019,0,26,7.538461538461538,2.3461538461538463,0.7692307692307693,0.3076923076923077,0.2692307692307692,0.19230769230769232,0.15384615384615385,0.38461538461538464,0.8461538461538461,2.6538461538461537,0.2692307692307692,0.4230769230769231
Saben Lee,saben lee,2020,38.0,2021,0,47,15.914893617021276,5.404255319148936,2.0425531914893615,3.5531914893617023,0.6382978723404256,0.2765957446808511,1.148936170212766,0.1702127659574468,2.0,4.25531914893617,1.2340425531914894,1.8085106382978724
Daniel Gafford,daniel gafford,2019,38.0,2020,0,43,14.13953488372093,5.116279069767442,2.4651162790697674,0.4883720930232558,0.3023255813953488,1.302325581395349,0.6744186046511628,0.0,2.186046511627907,3.116279069767442,0.7441860465116279,1.3953488372093024
