team,player,tier,injury,override_games,override_mpg
NOR,Herb Jones,rotation,none,60.0,30.0
NOR,Hunter Dickinson,fringe,none,,0.0
NOR,Jaron Pierre Jr.,cut,none,,
NOR,Jeremiah Fears,starter,none,78.0,29.0
NOR,Jordan Hawkins,reserve,none,20.0,10.0
NOR,Jordan Poole,reserve,none,59.0,19.0
NOR,Josh Oduro,cut,none,,
NOR,Karlo Matkovic,rotation,none,52.0,20.0
NOR,Kobe Bufkin,reserve,none,40.0,12.0
NOR,Melvin Council Jr.,cut,none,,
NOR,Micah Peavy,rotation,none,47.0,15.0
NOR,Saddiq Bey,starter,none,65.0,29.0
NOR,Trey Murphy III,starter,none,70.0,33.0
NOR,Yves Missi,rotation,none,62.0,21.0
NOR,Zion Williamson,starter,none,64.0,30.0
NYK,Andre Drummond,rotation,none,68.0,20.0
NYK,Jack Kayil,fringe,none,,0.0
NYK,Jalen Brunson,starter,none,73.0,34.0
NYK,Jordan Clarkson,rotation,none,69.0,16.0
NYK,Jose Alvarado,rotation,none,70.0,18.0
NYK,Josh Hart,starter,none,71.0,31.5
NYK,Karl-Anthony Towns,starter,none,70.0,31.0
NYK,Kevin McCullar Jr.,cut,none,,
NYK,Landry Shamet,rotation,none,58.0,22.0
NYK,Mikal Bridges,starter,none,79.0,32.0
NYK,Miles McBride,rotation,none,59.0,24.5
NYK,Mohamed Diawara,reserve,none,48.0,14.0
NYK,OG Anunoby,starter,none,68.0,33.0
NYK,Pacome Dadiet,reserve,none,32.0,8.0
NYK,Trey Jemison,cut,none,,
NYK,Tyler Kolek,reserve,none,57.0,12.0
NYK,Tyler Nickel,fringe,none,,8.0
OKC,Aday Mara,rotation,none,20.0,14.0
OKC,Ajay Mitchell,rotation,none,68.0,30.0
OKC,Alex Caruso,rotation,none,58.0,20.0
OKC,Bennett Stirtz,reserve,none,40.0,14.0
OKC,Brooks Barnhizer,fringe,none,,12.0
OKC,Cason Wallace,starter,none,73.0,30.0
OKC,Chet Holmgren,starter,none,69.0,30.0
OKC,Isaiah Hartenstein,starter,none,62.0,25.0
OKC,Jalen Williams,starter,none,60.0,30.0
OKC,Jared McCain,rotation,none,66.0,23.0
OKC,Jaylin Williams,rotation,none,65.0,19.0
OKC,Josh Dix,fringe,none,,8.0
OKC,Kenrich Williams,reserve,none,54.0,16.0
OKC,Lamar Wilkerson,cut,none,,
OKC,Nate Johnson,cut,none,,
OKC,Nikola Topic,reserve,none,52.0,14.0
OKC,Otega Oweh,fringe,none,,8.0
OKC,Payton Sandfort,cut,none,,
OKC,Shai Gilgeous-Alexander,starter,none,73.0,33.0
OKC,Thomas Sorber,reserve,short_term,22.0,10.3
ORL,Alex Morales,fringe,none,,5.5
ORL,Anthony Black,rotation,none,69.0,28.0
ORL,Colin Castleton,fringe,none,,9.3
ORL,Desmond Bane,starter,none,77.0,33.0
ORL,Franz Wagner,starter,none,65.0,32.0
ORL,Goga Bitadze,rotation,none,65.0,19.0
ORL,Izaiyah Nelson,fringe,none,,6.5
ORL,Jalen Suggs,starter,none,55.0,30.0
ORL,Jamal Cain,reserve,none,42.0,15.0
ORL,Jase Richardson,rotation,none,66.0,15.0
ORL,Jevon Carter,reserve,none,47.0,16.0
ORL,Jonathan Isaac,reserve,none,45.0,12.0
ORL,Malik Reneau,cut,none,,
ORL,Nikola Vucevic,reserve,none,47.0,15.0
ORL,Noah Penda,rotation,none,62.0,16.0
ORL,Paolo Banchero,starter,none,68.0,34.0
